Variable,Long name,Standard name,Units
o2os,Surface Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea _water,mol m-3
o2sat,Dissolved Oxygen Concentration at Saturation,mole_concentration_of_dissolved_molecular_oxygen_in_sea _water_at_saturation,mol m-3
o2satos,Surface Dissolved Oxygen Concentration at Saturation,mole_concentration_of_dissolved_molecular_oxygen_in_sea _water_at_saturation,mol m-3
o3,Mole Fraction of O3,mole_fraction_of_ozone_in_air,mol mol-1
o3Clim,Mole Fraction of O3,mole_fraction_of_ozone_in_air,mol mol-1
o3loss,O3 Destruction Rate,tendency_of_atmosphere_mole_concentration_of_ozone_due _to_chemical_destruction,mol m-3 s-1
o3prod,O3 Production Rate,tendency_of_atmosphere_mole_concentration_of_ozone_due _to_chemical_production,mol m-3 s-1
o3ste,Stratospheric Ozone Tracer Volume Mixing Ratio,mole_fraction_of_ozone_in_air,mol mol-1
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,square_of_brunt_vaisala_frequency_in_sea_water,s-2
ocfriver,Flux of Organic Carbon into Ocean Surface by Runoff,tendency_of_ocean_mole_content_of_organic_carbon_due_to _runoff_and_sediment_dissolution,mol m-2 s-1
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content_due_to_parameterized _dianeutral_mixing,W m-2
ocontempmint,Depth Integral of Product of Sea Water Density and Conservative Temperature,integral_wrt_depth_of_product_of_conservative _temperature_and_sea_water_density,degC kg m-2
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content_due_to_parameterized_eddy _advection,W m-2
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content_due_to_parameterized _mesoscale_eddy_diffusion,W m-2
ocontemppsmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content_due_to_parameterized _submesoscale_eddy_advection,W m-2
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content_due_to_residual_mean _advection,W m-2
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,tendency_of_sea_water_conservative_temperature _expressed_as_heat_content,W m-2
od440aer,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol _particles,Dimensionless
od443dust,Optical Thickness at 443nm Dust,atmosphere_optical_thickness_due_to_dust_ambient _aerosol_particles,Dimensionless
od550aer,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol _particles,Dimensionless
od550aerh2o,Aerosol Water Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_water_in_ambient _aerosol_particles,Dimensionless
od550aerso,Stratospheric Optical Depth at 550nm (All Aerosols) 2D-Field (Stratosphere Only),stratosphere_optical_thickness_due_to_ambient_aerosol _particles,Dimensionless
od550bb,Aerosol Optical Depth at 550nm Due to Biomass Burning,atmosphere_optical_thickness_due_to_particulate_organic _matter_ambient_aerosol_particles,Dimensionless
od550bc,Black Carbon Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_black_carbon _ambient_aerosol,Dimensionless
od550csaer,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol _particles,Dimensionless
od550dust,Dust Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_dust_ambient _aerosol_particles,Dimensionless
od550lt1aer,Ambient Fine Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol _particles,Dimensionless
od550no3,Nitrate Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_nitrate_ambient _aerosol_particles,Dimensionless
od550oa,Total Organic Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_particulate_organic _matter_ambient_aerosol_particles,Dimensionless
od550so4,Sulfate Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_sulfate_ambient _aerosol_particles,Dimensionless
od550so4so,Stratospheric Optical Depth at 550nm (Sulphate Only) 2D-Field (Stratosphere Only),stratosphere_optical_thickness_due_to_sulfate_ambient _aerosol_particles,Dimensionless
od550soa,Particulate Organic Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_particulate_organic _matter_ambient_aerosol_particles,Dimensionless
od550ss,Sea-Salt Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient _aerosol_particles,Dimensionless
od865dust,Dust Optical Depth at 865nm,atmosphere_optical_thickness_due_to_dust_ambient _aerosol_particles,Dimensionless
od870aer,Ambient Aerosol Optical Depth at 870nm,atmosphere_optical_thickness_due_to_ambient_aerosol _particles,Dimensionless
oh,OH Volume Mixing Ratio,mole_fraction_of_hydroxyl_radical_in_air,mol mol-1
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean_mixed_layer_thickness_defined_by_mixing_scheme,m
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,tendency_of_sea_water_potential_temperature_expressed _as_heat_content_due_to_parameterized_dianeutral_mixing,W m-2
opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,integral_wrt_depth_of_product_of_potential_temperature _and_sea_water_density,degC kg m-2
